Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Industry,Business Description,Company Website,Started in,Male Presenters,Female Presenters,Pitchers Average Age,Pitchers City,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
4,SpeedKitchen,7,497,06-Jan-25,18-Mar-25,14-Jan-25,From Culinary To Creativity,Food and Beverage,Ready-to-move kitchens,https://speedkitchen.in/,2021,2,0,Middle,Delhi,550,,,2,4.5,,,,yes,,200,3,6666.666667,1,1,200,6,,,3333.333333,3,,,,,,,,,,,,,,,,,,,66.66,2,,,,,133.33,4,,"Kunal Bahl,Azhar Iqubal","Kunal Bahl,Azhar Iqubal",,1,,1,,1,,2
4,MudgarClub,7,498,06-Jan-25,18-Mar-25,14-Jan-25,From Culinary To Creativity,Fitness/Sports/Outdoors,Traditional fitness tools,https://www.mudgarclub.com/,2023,2,0,Middle,,,10,,,,,,,,,50,10,500,1,1,50,12.5,,,400,1,,,,,,,,,,,,,,,,,,,50,12.5,,,,,,,,,"Kunal Bahl,Azhar Iqubal",,1,,1,,1,,2
4,ImagiMake,7,499,06-Jan-25,18-Mar-25,14-Jan-25,From Culinary To Creativity,Children/Education,Creative games and toys,https://imagimake.com/,2014,1,1,Middle,Mumbai,5600,,,,,,,yes,funded,,150,0.5,30000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kunal Bahl,Azhar Iqubal",,1,,1,,1,,2
4,BeastLife,8,500,06-Jan-25,18-Mar-25,15-Jan-25,"Health, Style And Care",Medical/Health,Affordable protein supplements,https://beastlife.in/,2024,2,0,Middle,"Kanpur,Lucknow",,23,,,,,,,,,100,1,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,,1,1,1,1,,,1
4,GoDevil,8,501,06-Jan-25,18-Mar-25,15-Jan-25,"Health, Style And Care",Beauty/Fashion,Trendy online fashion,https://godevil.in/,2022,1,1,Young,Gurugram,275,51,60,,,,,,,,80,2,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,,1,1,1,1,,,1
4,Havintha,8,502,06-Jan-25,18-Mar-25,15-Jan-25,"Health, Style And Care",Beauty/Fashion,Premium hair care products,https://havintha.in/,,1,0,Middle,Indore,500,62,,,,,,,,,50,2,2500,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,,1,1,1,1,,,1
4,NurturingGreen,9,503,06-Jan-25,18-Mar-25,16-Jan-25,Green Ventures Face Off,Lifestyle/Home,Online plant nursery,https://nurturinggreen.in/,2010,1,0,Middle,Lucknow,2800,400,,,5,,,,,yes,100,1,10000,1,1,50,1.25,50,10,4000,1,,,,,,,50,1.25,50,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1,1,1,,1,,,1
4,kyari,9,504,06-Jan-25,18-Mar-25,16-Jan-25,Green Ventures Face Off,Lifestyle/Home,Online plant nursery,https://kyari.co/,2022,2,0,Middle,Indore,1048,263,70,,,yes,,,funded,yes,80,0.8,10000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1,1,1,,1,,,1
4,ProjectClay,10,505,06-Jan-25,18-Mar-25,17-Jan-25,Young Entrepreneurs Take the Stage,Children/Education,One-on-one college application mentorship,https://www.projectclay.com/,2024,1,1,Young,Goa,,,,,,,,,,,15,10,150,1,1,15,10,,,150,1,,,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
4,DeniBikes,10,506,06-Jan-25,18-Mar-25,17-Jan-25,Young Entrepreneurs Take the Stage,Vehicles/Electrical Vehicles,Affordable and eco-friendly electric motorcycles,,,1,0,Young,Pune,,,,,,,,,,,30,10,300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
