season_number,startup_name,episode_number,pitch_number,season_start,season_end,original_air_date,episode_title,industry,business_description,company_website,started_in,male_presenters,female_presenters,pitchers_average_age,pitchers_city,yearly_revenue,monthly_sales,gross_margin,net_margin,ebitda,cash_burn,skus,has_patents,bootstrapped,part_of_match_off,original_ask_amount,original_offered_equity,valuation_requested,received_offer,accepted_offer,total_deal_amount,total_deal_equity,total_deal_debt,debt_interest,deal_valuation,number_of_sharks_in_deal,royalty_percentage,royalty_recouped_amount,advisory_shares_equity,namita_investment_amount,namita_investment_equity,namita_debt_amount,vineeta_investment_amount,vineeta_investment_equity,vineeta_debt_amount,anupam_investment_amount,anupam_investment_equity,anupam_debt_amount,aman_investment_amount,aman_investment_equity,aman_debt_amount,peyush_investment_amount,peyush_investment_equity,peyush_debt_amount,ritesh_investment_amount,ritesh_investment_equity,ritesh_debt_amount,amit_investment_amount,amit_investment_equity,amit_debt_amount,guest_investment_amount,guest_investment_equity,guest_debt_amount,invested_guest_name,all_guest_names,namita_present,vineeta_present,anupam_present,aman_present,peyush_present,ritesh_present,amit_present,guest_present,deal_closed,investment_amount
1,Nuutjob,10,29,20-Dec-21,04-Feb-22,31-Dec-21,Passion About Entrepreneurship,Beauty/Fashion,Male Intimate Hygiene Deo Spray,Https://Nuutjob.Com/,2021.0,,2.0,Young,Ahmedabad,,0.002,70.0,,,Nan,,Nan,Nan,Nan,25.0,5.0,500.0,1,1.0,25.0,20.0,,,125.0,3.0,,0.0,,8.33,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,6.66,0.0,8.33,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,25.0
1,Meatyour,10,30,20-Dec-21,04-Feb-22,31-Dec-21,Passion About Entrepreneurship,Food And Beverage,Eggs,Https://Meatyour.Com/,2020.0,3.0,,Middle,Pune,130.0,2.8,30.0,,,Nan,,Nan,Nan,Nan,30.0,5.0,600.0,1,1.0,30.0,20.0,,,150.0,3.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.66,0.0,10.0,6.66,0.0,10.0,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,30.0
1,Eventbeep,10,31,20-Dec-21,04-Feb-22,31-Dec-21,Passion About Entrepreneurship,Children/Education,Student Community App Edtech,Https://Www.Eventbeep.Com/,2019.0,2.0,1.0,Young,Pune,120.0,,,,,Nan,,Nan,Nan,Nan,30.0,2.0,1500.0,1,1.0,30.0,3.0,,,1000.0,3.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,30.0
1,Gopal'S56,11,32,20-Dec-21,04-Feb-22,03-Jan-22,Investment Paane Ka Sapna,Food And Beverage,Fiber Ice Cream,Https://Www.Gopals56.In/,2014.0,1.0,,Middle,Delhi,80.0,33.0,21.0,,,Nan,,Nan,Nan,Nan,30000.0,25.0,120000.0,0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,0.0
1,Arrcoatsurfacetextures,11,33,20-Dec-21,04-Feb-22,03-Jan-22,Investment Paane Ka Sapna,Manufacturing,Wall Building Surface Textures,Https://Www.Arrcoat.Com/,2019.0,3.0,,Middle,Delhi,,6.0,,20.0,,Nan,,Nan,Nan,Nan,50.0,5.0,1000.0,1,1.0,50.0,15.0,,,333.0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,50.0
1,Farda,11,34,20-Dec-21,04-Feb-22,03-Jan-22,Investment Paane Ka Sapna,Beauty/Fashion,Customised Streetwear,Https://Fardaclothing.Com/,2021.0,1.0,1.0,Young,Nagpur,,0.32,115.0,,,Nan,,Nan,Nan,Nan,30.0,10.0,300.0,1,1.0,30.0,20.0,,,150.0,2.0,,0.0,,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,30.0
1,Auli,12,35,20-Dec-21,04-Feb-22,04-Jan-22,Ek Idea Aur Uske Do Sides,Beauty/Fashion,Ayurvedic Products Skincare Lifestyle,Https://Aulilifestyle.Com/,2017.0,,1.0,Middle,Kolkata,250.0,16.0,80.0,10.0,,Nan,,Nan,Nan,Nan,75.0,4.0,1875.0,1,1.0,75.0,15.0,,,500.0,1.0,,0.0,,75.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,75.0
1,Sweedesi,12,36,20-Dec-21,04-Feb-22,04-Jan-22,Ek Idea Aur Uske Do Sides,Food And Beverage,Indian Sweets Online,Https://Www.Sweedesi.Com/,2018.0,1.0,1.0,Middle,Pune,,,,,,Nan,,Nan,Nan,Nan,40.0,3.0,1333.0,0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,0.0
1,Loka,12,37,20-Dec-21,04-Feb-22,04-Jan-22,Ek Idea Aur Uske Do Sides,Technology/Software,Metaverse App,Https://Www.Lokaworld.App/,2020.0,1.0,,Young,Delhi,,,,,,Nan,,Nan,Nan,Nan,40.0,5.0,800.0,1,1.0,40.0,24.0,,,167.0,3.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.33,8.0,0.0,13.33,8.0,0.0,13.33,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,40.0
1,Annie,13,38,20-Dec-21,04-Feb-22,05-Jan-22,Ideas By Young Entrepreneurs,Children/Education,Thinkerbell Labs Braille Literary Device,Https://Www.Thinkerbelllabs.Com/Annie,2016.0,3.0,1.0,Young,Bangalore,500.0,4.0,50.0,,,Nan,,Nan,Nan,Nan,30.0,0.5,6000.0,1,1.0,105.0,3.0,,,3500.0,3.0,,0.0,,35.0,1.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,False,105.0
